group_id,observable_count,shots,seed,replicate,coefficient_weighted_group_mean_hartree,c_transpose_covariance_c_hartree_squared,variance_of_group_mean_hartree_squared
WT_TMP_G0001,25,100,101,1,-87818.80985222525,94537622303.18953,945376223.0318953
WT_TMP_G0002,29,100,101,1,-11560497.279920252,1819087544917787.2,18190875449177.87
WT_TMP_G0003,48,100,101,1,-77890974800.28009,5.184954005744118e+22,5.184954005744118e+20
WT_TMP_G0004,6,100,101,1,-128418160.42879799,1.715332130306915e+17,1715332130306915.0
WT_TMP_G0005,23,100,101,1,26208547187.76596,2.1269482805881693e+22,2.1269482805881694e+20
WT_TMP_G0006,23,100,101,1,313551.3859348948,1202635980688.1533,12026359806.881533
WT_TMP_G0007,13,100,101,1,785127.6455789505,376086221655880.8,3760862216558.808
WT_TMP_G0008,16,100,101,1,-598053745.4394811,9.40639518368182e+17,9406395183681820.0
WT_TMP_G0009,11,100,101,1,-29724637026039.7,1.6221655946307566e+28,1.6221655946307565e+26
WT_TMP_G0010,3,100,101,1,5297967.693143426,362823858848496.1,3628238588484.9614
WT_TMP_G0011,5,100,101,1,-75863.39022834129,939661919246.0211,9396619192.46021
WT_TMP_G0012,3,100,101,1,-324968502349.0764,3.2100728893632166e+24,3.2100728893632164e+22
WT_TMP_G0013,19,100,101,1,60371454324.496796,4.7569434898621736e+22,4.756943489862173e+20
WT_TMP_G0014,9,100,101,1,-39581122.68220659,5471648874491596.0,54716488744915.96
WT_TMP_G0015,11,100,101,1,-114690596.58628136,2.4543099988140614e+17,2454309998814061.5
WT_TMP_G0016,9,100,101,1,-6492365.593786311,390626094615867.5,3906260946158.675
WT_TMP_G0017,12,100,101,1,64958868347.25014,7.79915156625771e+21,7.79915156625771e+19
WT_TMP_G0018,5,100,101,1,1471136885.37356,6.118842371841292e+19,6.118842371841292e+17
WT_TMP_G0019,13,100,101,1,164307276033.04376,1.0005292596746111e+23,1.0005292596746111e+21
WT_TMP_G0020,24,100,101,1,340164065505.81836,8.710745553182152e+23,8.710745553182152e+21
WT_TMP_G0021,16,100,101,1,1248597745.7130172,1.2525211248654012e+19,1.2525211248654013e+17
WT_TMP_G0022,5,100,101,1,-26230630.589134417,7.654453936758602e+16,765445393675860.1
WT_TMP_G0023,16,100,101,1,-1187206.64968547,5801907470702.476,58019074707.02476
WT_TMP_G0024,15,100,101,1,87141546092.06009,8.62585375198641e+22,8.62585375198641e+20
WT_TMP_G0025,13,100,101,1,-165355891649169.78,5.51954164310779e+28,5.51954164310779e+26
WT_TMP_G0026,9,100,101,1,433442657.4257564,3.3023951971242225e+18,3.3023951971242224e+16
WT_TMP_G0027,15,100,101,1,-6201187.340015715,721402975517365.6,7214029755173.656
WT_TMP_G0028,4,100,101,1,2465051.68964055,110535192063709.25,1105351920637.0925
WT_TMP_G0029,4,100,101,1,99405810.00562091,1.8553352306709238e+17,1855335230670923.8
WT_TMP_G0030,16,100,101,1,-89092652.54563658,3.771052035704162e+17,3771052035704162.0
WT_TMP_G0031,11,100,101,1,1080610889811.723,2.1477926188975157e+25,2.1477926188975158e+23
WT_TMP_G0032,5,100,101,1,450878.76687383064,794156305307.8605,7941563053.078605
WT_TMP_G0033,5,100,101,1,35590.21095281699,41743417854.71186,417434178.5471186
WT_TMP_G0034,5,100,101,1,886356798.8139905,7.80190567499018e+18,7.801905674990181e+16
WT_TMP_G0035,12,100,101,1,194164.9281915523,477469238239.0217,4774692382.390217
WT_TMP_G0036,18,100,101,1,-185222306554.0585,2.9061528201904538e+23,2.9061528201904537e+21
WT_TMP_G0037,10,100,101,1,-12592828957327.723,2.821401864963833e+27,2.821401864963833e+25
WT_TMP_G0038,21,100,101,1,-41873541827984.83,7.855526000392955e+27,7.855526000392954e+25
WT_TMP_G0039,4,100,101,1,84993797.44595736,1.846652735944693e+16,184665273594469.28
WT_TMP_G0040,8,100,101,1,443589529.42880005,3.4813965542607283e+18,3.4813965542607284e+16
WT_TMP_G0041,2,100,101,1,-3686632.3392167157,296020834241093.06,2960208342410.9307
WT_TMP_G0042,8,100,101,1,206659709.1846328,1.4137349664607704e+17,1413734966460770.5
WT_TMP_G0043,4,100,101,1,-419795226.392594,5.353412411668326e+18,5.353412411668326e+16
WT_TMP_G0044,7,100,101,1,-109606.72105151536,1082862591169.1976,10828625911.691977
WT_TMP_G0045,4,100,101,1,-2279146356.2414923,9.930638403447723e+19,9.930638403447722e+17
WT_TMP_G0046,11,100,101,1,-28112723274358.574,6.652807892681565e+27,6.652807892681565e+25
WT_TMP_G0047,9,100,101,1,41660892.11937937,2.6498169814014076e+16,264981698140140.75
