group_id,observable_count,shots,seed,replicate,aer_master_seed,aer_experiment_index,coefficient_weighted_group_mean_hartree,c_transpose_covariance_c_hartree_squared,variance_of_group_mean_hartree_squared
WT_TMP_G0001,25,250,2503,3,2501,2,-1.0337888412182281,0.00037120056977839593,1.4848022791135838e-06
WT_TMP_G0002,29,250,2503,3,2501,2,-1.5355493183416438,4.6862391096703305e-06,1.874495643868132e-08
WT_TMP_G0003,48,250,2503,3,2501,2,-0.2617004050882546,0.00028507469854441726,1.140298794177669e-06
WT_TMP_G0004,6,250,2503,3,2501,2,-0.018227183923853574,5.065725552259508e-08,2.0262902209038033e-10
WT_TMP_G0005,23,250,2503,3,2501,2,0.11261934370723338,1.0570821218034563e-05,4.228328487213825e-08
WT_TMP_G0006,23,250,2503,3,2501,2,-0.030396012174331428,2.048620092396472e-05,8.194480369585887e-08
WT_TMP_G0007,13,250,2503,3,2501,2,0.002222374897045498,0.00036925270979146213,1.4770108391658485e-06
WT_TMP_G0008,16,250,2503,3,2501,2,0.10637199317064157,2.028405992878847e-07,8.113623971515387e-10
WT_TMP_G0009,11,250,2503,3,2501,2,0.010409507187413092,2.632188311116186e-05,1.0528753244464744e-07
WT_TMP_G0010,3,250,2503,3,2501,2,0.0003666602411122506,0.00029228320810149676,1.169132832405987e-06
WT_TMP_G0011,5,250,2503,3,2501,2,-1.1403725073448501e-05,1.156186810640224e-06,4.624747242560896e-09
WT_TMP_G0012,3,250,2503,3,2501,2,1.744269211156702e-07,5.09008359381831e-11,2.0360334375273238e-13
WT_TMP_G0013,19,250,2503,3,2501,2,-9.107718655978191e-05,0.00010383836672367305,4.153534668946922e-07
WT_TMP_G0014,9,250,2503,3,2501,2,-2.3890317235643093e-05,5.458444882112085e-07,2.183377952844834e-09
WT_TMP_G0015,11,250,2503,3,2501,2,0.02890618871013064,7.879969778235982e-06,3.151987911294393e-08
WT_TMP_G0016,9,250,2503,3,2501,2,-0.0006723414740159012,0.00031016769347316553,1.2406707738926622e-06
WT_TMP_G0017,12,250,2503,3,2501,2,-0.030850265882635158,1.2372685897804656e-20,4.9490743591218625e-23
WT_TMP_G0018,5,250,2503,3,2501,2,1.0915379886238909e-05,3.919381904733689e-08,1.5677527618934758e-10
WT_TMP_G0019,13,250,2503,3,2501,2,-0.06455003521738066,1.2197640292500998e-20,4.879056117000399e-23
WT_TMP_G0020,24,250,2503,3,2501,2,3.5046757583267084e-05,1.309551632662678e-05,5.238206530650712e-08
WT_TMP_G0021,16,250,2503,3,2501,2,-0.0004985570090786302,0.00043575072079944866,1.7430028831977945e-06
WT_TMP_G0022,5,250,2503,3,2501,2,-0.0002660980507651034,3.7886807558198563e-06,1.5154723023279427e-08
WT_TMP_G0023,16,250,2503,3,2501,2,-0.00023470302407602834,1.6903116350866523e-05,6.76124654034661e-08
WT_TMP_G0024,15,250,2503,3,2501,2,-0.0002768366997113645,1.0772565400275889e-05,4.309026160110355e-08
WT_TMP_G0025,13,250,2503,3,2501,2,0.00033952285643115194,2.21283420924117e-05,8.85133683696468e-08
WT_TMP_G0026,9,250,2503,3,2501,2,0.0007845034197821798,0.0002678546923817862,1.0714187695271448e-06
WT_TMP_G0027,15,250,2503,3,2501,2,-0.0004836648089026513,9.669394424182568e-05,3.8677577696730274e-07
WT_TMP_G0028,4,250,2503,3,2501,2,1.0350143530971463e-05,1.862350583981287e-07,7.449402335925148e-10
WT_TMP_G0029,4,250,2503,3,2501,2,1.337366127424958e-05,2.054031112872167e-08,8.216124451488667e-11
WT_TMP_G0030,16,250,2503,3,2501,2,0.0006983841331011281,0.0003397190759336482,1.3588763037345929e-06
WT_TMP_G0031,11,250,2503,3,2501,2,7.5282707367515e-05,3.144521793397391e-06,1.2578087173589564e-08
WT_TMP_G0032,5,250,2503,3,2501,2,-7.0973493308295136e-06,2.4058799433554314e-07,9.623519773421726e-10
WT_TMP_G0033,5,250,2503,3,2501,2,-1.4695888392791138e-05,7.054512730369003e-08,2.8218050921476013e-10
WT_TMP_G0034,5,250,2503,3,2501,2,5.4910139299100374e-06,1.8740800676345983e-07,7.496320270538394e-10
WT_TMP_G0035,12,250,2503,3,2501,2,-0.00014537591479956308,1.8881571875234134e-06,7.552628750093653e-09
WT_TMP_G0036,18,250,2503,3,2501,2,-8.261017468795519e-05,5.383230167264438e-06,2.1532920669057752e-08
WT_TMP_G0037,10,250,2503,3,2501,2,-8.917464099113709e-05,2.8935951873739288e-06,1.1574380749495716e-08
WT_TMP_G0038,21,250,2503,3,2501,2,-6.5454189323908e-05,1.7618103256708525e-06,7.0472413026834105e-09
WT_TMP_G0039,4,250,2503,3,2501,2,8.980334445366531e-06,7.853697635032562e-08,3.1414790540130246e-10
WT_TMP_G0040,8,250,2503,3,2501,2,8.130633640944659e-05,7.027212019960848e-05,2.8108848079843393e-07
WT_TMP_G0041,2,250,2503,3,2501,2,-0.00029582422838911457,2.1364347080381055e-05,8.545738832152422e-08
WT_TMP_G0042,8,250,2503,3,2501,2,-2.2363660148567283e-05,1.0805960273993845e-06,4.322384109597538e-09
WT_TMP_G0043,4,250,2503,3,2501,2,0.0001400178743144922,2.1467843022431962e-05,8.587137208972786e-08
WT_TMP_G0044,7,250,2503,3,2501,2,-1.226570429673748e-05,6.964487643839106e-08,2.7857950575356423e-10
WT_TMP_G0045,4,250,2503,3,2501,2,1.1392998102799915e-05,2.7904661042385315e-08,1.1161864416954126e-10
WT_TMP_G0046,11,250,2503,3,2501,2,8.187192206363436e-06,1.9846407191505953e-06,7.938562876602381e-09
WT_TMP_G0047,9,250,2503,3,2501,2,-2.2907960931103348e-07,3.094235246362765e-10,1.2376940985451061e-12
WT_TMP_G0048,2,250,2503,3,2501,2,-3.7779784265319472e-06,8.80378593266303e-09,3.521514373065212e-11
WT_TMP_G0049,7,250,2503,3,2501,2,0.00014034145931391139,0.0003482477960736588,1.3929911842946352e-06
WT_TMP_G0050,7,250,2503,3,2501,2,1.8337308341085928e-05,8.718659168438435e-07,3.487463667375374e-09
WT_TMP_G0051,5,250,2503,3,2501,2,-2.0477230544664076e-05,3.66241876694125e-07,1.4649675067765e-09
WT_TMP_G0052,3,250,2503,3,2501,2,-4.208369516462522e-06,1.0014123692513468e-06,4.005649477005387e-09
WT_TMP_G0053,5,250,2503,3,2501,2,8.570145778704544e-05,1.1173612141909805e-06,4.469444856763922e-09
WT_TMP_G0054,4,250,2503,3,2501,2,2.019061141560974e-05,1.1849798334451976e-06,4.73991933378079e-09
