group_id,observable_count,shots,seed,replicate,aer_master_seed,aer_experiment_index,nested_prefix_of_shots,coefficient_weighted_group_mean_hartree,c_transpose_covariance_c_hartree_squared,variance_of_group_mean_hartree_squared
WT_TMP_G0001,25,500,10001,1,10001,0,10000,-1.0349822931462056,0.00036830852840820285,7.366170568164057e-07
WT_TMP_G0002,29,500,10001,1,10001,0,10000,-1.535437445516888,4.668273784378176e-06,9.336547568756352e-09
WT_TMP_G0003,48,500,10001,1,10001,0,10000,-0.264280769335014,0.00028072988889942,5.6145977779884e-07
WT_TMP_G0004,6,500,10001,1,10001,0,10000,-0.018202373110873523,4.9113599210869534e-08,9.822719842173907e-11
WT_TMP_G0005,23,500,10001,1,10001,0,10000,0.11214242429445276,1.0840383498331298e-05,2.1680766996662597e-08
WT_TMP_G0006,23,500,10001,1,10001,0,10000,-0.030565341580293077,1.920336709494596e-05,3.840673418989192e-08
WT_TMP_G0007,13,500,10001,1,10001,0,10000,-0.0010402155623620987,0.0003917110185220252,7.834220370440505e-07
WT_TMP_G0008,16,500,10001,1,10001,0,10000,0.10637571705870769,2.0265728680155246e-07,4.053145736031049e-10
WT_TMP_G0009,11,500,10001,1,10001,0,10000,0.010864089417077966,2.60283735871349e-05,5.20567471742698e-08
WT_TMP_G0010,3,500,10001,1,10001,0,10000,0.0002730244958832034,0.00029385084247514695,5.877016849502939e-07
WT_TMP_G0011,5,500,10001,1,10001,0,10000,3.289859605691023e-05,1.1055012544282206e-06,2.211002508856441e-09
WT_TMP_G0012,3,500,10001,1,10001,0,10000,5.9126632580274544e-08,5.099228558265806e-11,1.0198457116531612e-13
WT_TMP_G0013,19,500,10001,1,10001,0,10000,-0.00024947813137296744,0.00010360350426478226,2.0720700852956454e-07
WT_TMP_G0014,9,500,10001,1,10001,0,10000,-1.2101406018893716e-05,5.460816964664196e-07,1.0921633929328393e-09
WT_TMP_G0015,11,500,10001,1,10001,0,10000,0.029088966808622038,8.215374986059023e-06,1.6430749972118044e-08
WT_TMP_G0016,9,500,10001,1,10001,0,10000,0.0005480195553141581,0.0003017884038773215,6.03576807754643e-07
WT_TMP_G0017,12,500,10001,1,10001,0,10000,-0.030850265881302862,1.234136958020423e-20,2.4682739160408462e-23
WT_TMP_G0018,5,500,10001,1,10001,0,10000,-4.092620416326735e-06,3.902835692896972e-08,7.805671385793944e-11
WT_TMP_G0019,13,500,10001,1,10001,0,10000,-0.0645500352027255,1.2349272710365631e-20,2.4698545420731263e-23
WT_TMP_G0020,24,500,10001,1,10001,0,10000,3.519889352753528e-05,1.2782520757865648e-05,2.5565041515731297e-08
WT_TMP_G0021,16,500,10001,1,10001,0,10000,-0.0006599548623129854,0.0004240887998027186,8.481775996054373e-07
WT_TMP_G0022,5,500,10001,1,10001,0,10000,0.00011037906315175116,3.838076707509538e-06,7.676153415019075e-09
WT_TMP_G0023,16,500,10001,1,10001,0,10000,0.000276122255436645,1.6960028519557203e-05,3.3920057039114404e-08
WT_TMP_G0024,15,500,10001,1,10001,0,10000,-9.296733719721987e-05,1.0887421732732967e-05,2.1774843465465934e-08
WT_TMP_G0025,13,500,10001,1,10001,0,10000,-0.00022625646016584983,2.353183512020994e-05,4.706367024041988e-08
WT_TMP_G0026,9,500,10001,1,10001,0,10000,-0.0011483816586821054,0.0002667363762226328,5.334727524452656e-07
WT_TMP_G0027,15,500,10001,1,10001,0,10000,-0.00022260198376656447,9.426731304056051e-05,1.8853462608112101e-07
WT_TMP_G0028,4,500,10001,1,10001,0,10000,1.2063752748082086e-05,1.8583168405003946e-07,3.7166336810007895e-10
WT_TMP_G0029,4,500,10001,1,10001,0,10000,-6.41564084737512e-06,2.060422862488962e-08,4.120845724977924e-11
WT_TMP_G0030,16,500,10001,1,10001,0,10000,-0.00016929718098138193,0.00036202007997261545,7.240401599452309e-07
WT_TMP_G0031,11,500,10001,1,10001,0,10000,-5.384846227317967e-05,3.0681851704417725e-06,6.136370340883545e-09
WT_TMP_G0032,5,500,10001,1,10001,0,10000,1.4126428769912506e-05,2.466700707578205e-07,4.933401415156409e-10
WT_TMP_G0033,5,500,10001,1,10001,0,10000,-3.7743123163077353e-06,7.398525818854556e-08,1.479705163770911e-10
WT_TMP_G0034,5,500,10001,1,10001,0,10000,1.7500050770638885e-05,1.882033730953441e-07,3.764067461906882e-10
WT_TMP_G0035,12,500,10001,1,10001,0,10000,5.665554618958162e-06,1.9052021584601674e-06,3.810404316920335e-09
WT_TMP_G0036,18,500,10001,1,10001,0,10000,-0.00011369870642983482,5.549650232341224e-06,1.1099300464682449e-08
WT_TMP_G0037,10,500,10001,1,10001,0,10000,-5.3592513806912474e-05,3.607820701314107e-06,7.215641402628214e-09
WT_TMP_G0038,21,500,10001,1,10001,0,10000,-7.145055290255579e-05,1.7663387951260118e-06,3.5326775902520234e-09
WT_TMP_G0039,4,500,10001,1,10001,0,10000,5.6225634591959194e-06,7.841619375993278e-08,1.5683238751986555e-10
WT_TMP_G0040,8,500,10001,1,10001,0,10000,0.00044939558230919674,6.95669398861937e-05,1.391338797723874e-07
WT_TMP_G0041,2,500,10001,1,10001,0,10000,-0.00027735745511725605,2.1332131259803894e-05,4.266426251960779e-08
WT_TMP_G0042,8,500,10001,1,10001,0,10000,2.56047093308426e-05,1.078695120429988e-06,2.1573902408599762e-09
WT_TMP_G0043,4,500,10001,1,10001,0,10000,0.00040931665214758236,2.1256202876098182e-05,4.251240575219636e-08
WT_TMP_G0044,7,500,10001,1,10001,0,10000,-2.1695989877075556e-06,6.966582901873025e-08,1.3933165803746051e-10
WT_TMP_G0045,4,500,10001,1,10001,0,10000,-1.5011849582714103e-05,2.757188981736021e-08,5.514377963472042e-11
WT_TMP_G0046,11,500,10001,1,10001,0,10000,2.617678818232477e-05,1.973663261596384e-06,3.9473265231927675e-09
WT_TMP_G0047,9,500,10001,1,10001,0,10000,8.795602243978344e-07,3.174077147844179e-10,6.348154295688358e-13
WT_TMP_G0048,2,500,10001,1,10001,0,10000,-2.640698038347145e-06,8.785754008818719e-09,1.7571508017637438e-11
WT_TMP_G0049,7,500,10001,1,10001,0,10000,0.0007499922398091475,0.0003466066892934691,6.932133785869382e-07
WT_TMP_G0050,7,500,10001,1,10001,0,10000,-4.558057278234383e-05,8.770517779459161e-07,1.7541035558918322e-09
WT_TMP_G0051,5,500,10001,1,10001,0,10000,-1.552873491587056e-05,3.6872991014721865e-07,7.374598202944373e-10
WT_TMP_G0052,3,500,10001,1,10001,0,10000,-1.801402946623326e-05,9.675552884746369e-07,1.935110576949274e-09
WT_TMP_G0053,5,500,10001,1,10001,0,10000,1.7948414730773383e-05,1.1321746813900247e-06,2.2643493627800494e-09
WT_TMP_G0054,4,500,10001,1,10001,0,10000,-1.3186605098393779e-05,1.1144715415365508e-06,2.2289430830731017e-09
WT_TMP_G0055,19,500,10001,1,10001,0,10000,-6.0895298755331074e-05,1.0921228557948795e-06,2.184245711589759e-09
WT_TMP_G0056,4,500,10001,1,10001,0,10000,8.942161165042876e-09,4.7918247318124176e-12,9.583649463624836e-15
WT_TMP_G0057,11,500,10001,1,10001,0,10000,0.00018083338029562906,1.8487930811078843e-05,3.697586162215769e-08
WT_TMP_G0058,3,500,10001,1,10001,0,10000,-9.624538344354834e-06,9.189250127392293e-08,1.8378500254784585e-10
WT_TMP_G0059,4,500,10001,1,10001,0,10000,2.2039814326252816e-05,2.9040935541694446e-07,5.80818710833889e-10
WT_TMP_G0060,10,500,10001,1,10001,0,10000,0.12609166095303553,4.0181026443281155e-06,8.036205288656231e-09
WT_TMP_G0061,7,500,10001,1,10001,0,10000,-7.55970308769622e-05,7.665490880122076e-07,1.5330981760244153e-09
WT_TMP_G0062,4,500,10001,1,10001,0,10000,-2.1282192733214016e-05,2.4347188445795456e-07,4.869437689159091e-10
WT_TMP_G0063,1,500,10001,1,10001,0,10000,4.036135352792294e-08,3.9687928480034467e-13,7.937585696006893e-16
WT_TMP_G0064,5,500,10001,1,10001,0,10000,-1.656383904779013e-06,3.4661006819143166e-06,6.932201363828633e-09
WT_TMP_G0065,6,500,10001,1,10001,0,10000,4.1542564852718245e-06,1.2349005934786312e-06,2.4698011869572625e-09
WT_TMP_G0066,6,500,10001,1,10001,0,10000,2.585389037360769e-05,1.2374188830021803e-06,2.4748377660043606e-09
WT_TMP_G0067,4,500,10001,1,10001,0,10000,1.5728344132233505e-05,9.155848601394326e-08,1.831169720278865e-10
WT_TMP_G0068,4,500,10001,1,10001,0,10000,-5.720503472568889e-06,2.9388861287051354e-07,5.877772257410271e-10
WT_TMP_G0069,9,500,10001,1,10001,0,10000,3.821346688917206e-06,1.0298449685014308e-08,2.0596899370028615e-11
WT_TMP_G0070,8,500,10001,1,10001,0,10000,-2.917925801000254e-06,7.577212201938773e-08,1.5154424403877546e-10
WT_TMP_G0071,6,500,10001,1,10001,0,10000,2.4604347660266038e-08,3.729070932149233e-10,7.458141864298466e-13
WT_TMP_G0072,2,500,10001,1,10001,0,10000,1.5407487576676261e-06,1.662265270096713e-09,3.324530540193426e-12
WT_TMP_G0073,8,500,10001,1,10001,0,10000,5.780906659088435e-05,1.3283705530590302e-06,2.6567411061180603e-09
WT_TMP_G0074,5,500,10001,1,10001,0,10000,-2.0304833376244096e-05,6.053295193252186e-08,1.2106590386504371e-10
WT_TMP_G0075,2,500,10001,1,10001,0,10000,1.7884124740582668e-06,1.6905860150366935e-09,3.381172030073387e-12
WT_TMP_G0076,5,500,10001,1,10001,0,10000,1.559497738874386e-06,6.813629189021756e-09,1.3627258378043511e-11
WT_TMP_G0077,3,500,10001,1,10001,0,10000,3.315958246630464e-06,5.9575061666449155e-09,1.1915012333289831e-11
WT_TMP_G0078,11,500,10001,1,10001,0,10000,3.281046306163068e-05,3.11627980979648e-07,6.23255961959296e-10
WT_TMP_G0079,3,500,10001,1,10001,0,10000,-2.582222472438258e-06,5.936365165167211e-08,1.1872730330334423e-10
WT_TMP_G0080,5,500,10001,1,10001,0,10000,-0.00020501188098929362,3.4374601392304865e-05,6.874920278460974e-08
WT_TMP_G0081,9,500,10001,1,10001,0,10000,8.647961549313619e-05,3.1036293418128e-06,6.2072586836256e-09
WT_TMP_G0082,1,500,10001,1,10001,0,10000,-1.1585115848209996e-07,8.39179392295216e-12,1.678358784590432e-14
WT_TMP_G0083,3,500,10001,1,10001,0,10000,-7.833846770492586e-06,9.010316166380947e-07,1.8020632332761894e-09
WT_TMP_G0084,11,500,10001,1,10001,0,10000,-3.9866710762693006e-11,1.2272189621833042e-18,2.4544379243666085e-21
WT_TMP_G0085,8,500,10001,1,10001,0,10000,4.53238697568463e-05,8.169818567534737e-07,1.6339637135069474e-09
WT_TMP_G0086,2,500,10001,1,10001,0,10000,9.232245384043092e-07,1.3706307681864218e-09,2.7412615363728437e-12
WT_TMP_G0087,7,500,10001,1,10001,0,10000,0.00018059373504394143,3.5741369762815776e-06,7.148273952563155e-09
WT_TMP_G0088,2,500,10001,1,10001,0,10000,1.2027198065501305e-07,7.026801624149122e-11,1.4053603248298243e-13
WT_TMP_G0089,9,500,10001,1,10001,0,10000,3.5791300302718825e-05,8.359938183725104e-07,1.6719876367450209e-09
WT_TMP_G0090,3,500,10001,1,10001,0,10000,9.905780655642449e-06,7.54870251474002e-08,1.509740502948004e-10
WT_TMP_G0091,6,500,10001,1,10001,0,10000,-8.148616497216533e-06,2.485126116437198e-07,4.970252232874395e-10
WT_TMP_G0092,4,500,10001,1,10001,0,10000,-4.230543710760922e-06,7.559011683629383e-08,1.5118023367258765e-10
WT_TMP_G0093,7,500,10001,1,10001,0,10000,-4.768611969842202e-05,1.5285722524737367e-05,3.0571445049474734e-08
WT_TMP_G0094,2,500,10001,1,10001,0,10000,2.640260943783429e-07,1.2399914432096333e-10,2.4799828864192665e-13
WT_TMP_G0095,10,500,10001,1,10001,0,10000,9.479905684555466e-05,1.3698137177377725e-05,2.739627435475545e-08
WT_TMP_G0096,3,500,10001,1,10001,0,10000,-2.473890977267292e-06,7.651601197399451e-10,1.5303202394798901e-12
WT_TMP_G0097,5,500,10001,1,10001,0,10000,7.335276311390948e-06,6.505414775884312e-08,1.3010829551768624e-10
WT_TMP_G0098,5,500,10001,1,10001,0,10000,-8.930079012975308e-06,6.157937309213957e-08,1.2315874618427915e-10
WT_TMP_G0099,1,500,10001,1,10001,0,10000,4.058323959895617e-08,1.0314209571373415e-10,2.0628419142746832e-13
WT_TMP_G0100,9,500,10001,1,10001,0,10000,0.00018459711579076824,7.591158349428609e-06,1.5182316698857217e-08
WT_TMP_G0101,2,500,10001,1,10001,0,10000,-2.6418182939847522e-05,4.444241279119794e-07,8.888482558239588e-10
WT_TMP_G0102,1,500,10001,1,10001,0,10000,-6.750654492078847e-08,3.170561525761946e-11,6.341123051523892e-14
WT_TMP_G0103,8,500,10001,1,10001,0,10000,-4.075700705374109e-05,1.5698343713765858e-06,3.1396687427531718e-09
WT_TMP_G0104,4,500,10001,1,10001,0,10000,1.1201618920712197e-05,7.575360408525615e-08,1.5150720817051232e-10
WT_TMP_G0105,3,500,10001,1,10001,0,10000,-3.7419188800480107e-06,2.917031852657379e-07,5.834063705314759e-10
WT_TMP_G0106,4,500,10001,1,10001,0,10000,1.4546125183464653e-05,2.3464598780609696e-07,4.692919756121939e-10
WT_TMP_G0107,2,500,10001,1,10001,0,10000,5.136443870572117e-07,3.535475049927569e-10,7.070950099855138e-13
WT_TMP_G0108,4,500,10001,1,10001,0,10000,-5.0142127626605555e-05,8.009367078134022e-07,1.6018734156268046e-09
WT_TMP_G0109,7,500,10001,1,10001,0,10000,-0.00010703621369349973,1.161063458174741e-06,2.322126916349482e-09
WT_TMP_G0110,2,500,10001,1,10001,0,10000,-0.00011093588412948719,2.1396915612632056e-05,4.279383122526411e-08
WT_TMP_G0111,7,500,10001,1,10001,0,10000,7.239725087460208e-06,2.0041442572721838e-07,4.008288514544368e-10
WT_TMP_G0112,3,500,10001,1,10001,0,10000,-1.7647042851193095e-06,1.8408847672919218e-09,3.681769534583844e-12
WT_TMP_G0113,3,500,10001,1,10001,0,10000,2.33873613357098e-06,7.57938798505522e-08,1.515877597011044e-10
WT_TMP_G0114,5,500,10001,1,10001,0,10000,6.417762275448335e-05,0.0002926276274955568,5.852552549911136e-07
WT_TMP_G0115,4,500,10001,1,10001,0,10000,-2.677649153526055e-05,5.441972684489613e-07,1.0883945368979225e-09
WT_TMP_G0116,5,500,10001,1,10001,0,10000,-1.9889438805477606e-05,2.0521159304290773e-07,4.1042318608581547e-10
WT_TMP_G0117,6,500,10001,1,10001,0,10000,-6.219910948587847e-05,6.992707274311441e-05,1.3985414548622883e-07
WT_TMP_G0118,5,500,10001,1,10001,0,10000,-2.421091837947263e-05,4.7334392622022717e-07,9.466878524404544e-10
WT_TMP_G0119,3,500,10001,1,10001,0,10000,-1.7008795418646705e-07,9.735034281231684e-11,1.9470068562463369e-13
WT_TMP_G0120,5,500,10001,1,10001,0,10000,-1.8028796677409336e-06,7.780001350271394e-08,1.5560002700542786e-10
WT_TMP_G0121,4,500,10001,1,10001,0,10000,-5.248005341874774e-06,7.547814311589796e-08,1.5095628623179591e-10
WT_TMP_G0122,4,500,10001,1,10001,0,10000,2.523872262227906e-06,3.968422457280672e-09,7.936844914561343e-12
WT_TMP_G0123,4,500,10001,1,10001,0,10000,2.1492327672735886e-05,7.681555079742625e-08,1.536311015948525e-10
WT_TMP_G0124,9,500,10001,1,10001,0,10000,-4.434415342628418e-05,9.787580189138122e-07,1.9575160378276246e-09
WT_TMP_G0125,5,500,10001,1,10001,0,10000,3.809501144675421e-07,1.5616368213581484e-09,3.1232736427162966e-12
WT_TMP_G0126,2,500,10001,1,10001,0,10000,-4.425672558151818e-07,1.3711727621698703e-09,2.742345524339741e-12
WT_TMP_G0127,1,500,10001,1,10001,0,10000,-8.124567109103708e-10,4.133738387580096e-14,8.267476775160191e-17
