observable_id,pauli_string,group_id,circuit_index,bits,invert
P0394,Z4,WT_TMP_G0001,0,4,false
P0413,Y3 Z4 Y5 Z10,WT_TMP_G0001,0,3;4;5;10,false
P0870,Y7 Z8 Z10 Y11,WT_TMP_G0001,0,7;8;10;11,false
P0987,Y3 Z4 Y5 Z8,WT_TMP_G0001,0,3;4;5;8,false
P1040,Y3 Z4 Y5 Z9,WT_TMP_G0001,0,3;4;5;9,false
P1276,X0 X2,WT_TMP_G0001,0,0;2,false
P1450,Z4 Z9,WT_TMP_G0001,0,4;9,false
P1586,X0 X1 Y6 Y7,WT_TMP_G0001,0,0;1;6;7,false
P1610,Y3 Y5,WT_TMP_G0001,0,3;5,false
P1649,Y3 Z4 Y5 Y7 Z8 Z9 Z10 Y11,WT_TMP_G0001,0,3;4;5;7;8;9;10;11,false
P1656,Z9 Z10,WT_TMP_G0001,0,9;10,false
P1659,Z8,WT_TMP_G0001,0,8,false
P1667,Z8 Z10,WT_TMP_G0001,0,8;10,false
P1680,Z8 Z9,WT_TMP_G0001,0,8;9,false
P1682,Z4 Y7 Z8 Z9 Z10 Y11,WT_TMP_G0001,0,4;7;8;9;10;11,false
P1698,Y5 Y7,WT_TMP_G0001,0,5;7,false
P1729,Y7 Z8 Z9 Z10 Y11,WT_TMP_G0001,0,7;8;9;10;11,false
P1739,Z10,WT_TMP_G0001,0,10,false
P1741,Y7 Z8 Z9 Y11,WT_TMP_G0001,0,7;8;9;11,false
P1744,Z4 Z8,WT_TMP_G0001,0,4;8,false
P1760,Z4 Z10,WT_TMP_G0001,0,4;10,false
P1791,X1 X2 Y5 Y6,WT_TMP_G0001,0,1;2;5;6,false
P1795,Z9,WT_TMP_G0001,0,9,false
P1799,Y7 Z9 Z10 Y11,WT_TMP_G0001,0,7;9;10;11,false
P1810,Y3 Z4 Y5,WT_TMP_G0001,0,3;4;5,false
P0143,X0 Z1 Z2 X4,WT_TMP_G0002,0,0;1;2;4,false
P0234,X6 Z8 Z9 X10,WT_TMP_G0002,0,6;8;9;10,false
P0235,Z1 X4 Z5 X6,WT_TMP_G0002,0,1;4;5;6,false
P0373,Z5,WT_TMP_G0002,0,5,false
P0375,Z5 Z11,WT_TMP_G0002,0,5;11,false
P0489,X4 Z5 X6 Z8,WT_TMP_G0002,0,4;5;6;8,false
P0512,Z2 X4 Z5 X6,WT_TMP_G0002,0,2;4;5;6,false
P0585,X4 X6,WT_TMP_G0002,0,4;6,false
P0605,Z1 Z11,WT_TMP_G0002,0,1;11,false
P0710,Z1,WT_TMP_G0002,0,1,false
P0720,Z2,WT_TMP_G0002,0,2,false
P0760,Z2 Z8,WT_TMP_G0002,0,2;8,false
P0803,Z1 Z2,WT_TMP_G0002,0,1;2,false
P1009,X0 Z1 Z2 X3 X7 Z8 Z9 X10,WT_TMP_G0002,0,0;1;2;3;7;8;9;10,false
P1057,Z2 Z9,WT_TMP_G0002,0,2;9,false
P1113,Z11,WT_TMP_G0002,0,11,false
P1191,X4 Z5 X6 Z11,WT_TMP_G0002,0,4;5;6;11,false
P1239,X4 Z5 X6,WT_TMP_G0002,0,4;5;6,false
P1267,X4 Z5 X6 Z9,WT_TMP_G0002,0,4;5;6;9,false
P1307,Z2 Z11,WT_TMP_G0002,0,2;11,false
P1370,Z5 Z8,WT_TMP_G0002,0,5;8,false
P1374,Z2 Z5,WT_TMP_G0002,0,2;5,false
P1403,Z9 Z11,WT_TMP_G0002,0,9;11,false
P1543,Z1 Z5,WT_TMP_G0002,0,1;5,false
P1725,Z1 Z8,WT_TMP_G0002,0,1;8,false
P1726,X3 X4 X6 X7,WT_TMP_G0002,0,3;4;6;7,false
P1783,Z5 Z9,WT_TMP_G0002,0,5;9,false
P1793,Z1 Z9,WT_TMP_G0002,0,1;9,false
P1818,Z8 Z11,WT_TMP_G0002,0,8;11,false
P0257,X0 Z1 X2 Z5,WT_TMP_G0003,0,0;1;2;5,false
P0337,Z3 Z10,WT_TMP_G0003,0,3;10,false
P0485,X6 Z7 X8,WT_TMP_G0003,0,6;7;8,false
P0666,Z4 Z7,WT_TMP_G0003,0,4;7,false
P0689,X2 Z3 Z4 Z5 X6,WT_TMP_G0003,0,2;3;4;5;6,false
P0732,Z3 Y9 Z10 Y11,WT_TMP_G0003,0,3;9;10;11,false
P0827,X2 Z4 Z5 X6,WT_TMP_G0003,0,2;4;5;6,false
P0828,Z1 Z7,WT_TMP_G0003,0,1;7,false
P0842,X6 X8,WT_TMP_G0003,0,6;8,false
P0918,Z3 Z4,WT_TMP_G0003,0,3;4,false
