parameter,value,class
d0,-0.0003262810634539933,double
d1,-0.0001331111225162125,double
d10,-2.5333370615543063e-05,double
d11,-2.3728046669795582e-05,double
d12,-1.2240818034952464e-06,double
d13,-0.0001331111225162125,double
d14,-0.00017056247308884568,double
d15,-1.282842064332403e-05,double
d16,-6.859133935926331e-07,double
d17,-2.5256077014045887e-05,double
d18,-9.293927734991923e-05,double
d19,-8.323299062734958e-06,double
d2,-5.569987459836163e-06,double
d20,-3.394625939425835e-07,double
d21,-2.8627310368038055e-06,double
d22,-2.7235023906503715e-05,double
d23,-1.934970228833826e-06,double
d24,-5.569987459836163e-06,double
d25,-1.282842064332403e-05,double
d26,-1.4940034368828853e-06,double
d27,-1.890428028999151e-06,double
d28,-7.63738566914233e-06,double
d29,-7.762264563913442e-07,double
d3,-1.0965485181606528e-05,double
d30,-6.716655433132677e-07,double
d31,-1.595507634891243e-06,double
d32,-1.9941362210959695e-07,double
d33,-1.043969546515748e-05,double
d34,-3.622156219565238e-05,double
d35,-2.9766613518071994e-06,double
d36,-1.0965485181606528e-05,double
d37,-1.0862333228080455e-06,double
d38,-2.5333370615543063e-05,double
d39,-2.3728046669795582e-05,double
d4,-1.0862333228080455e-06,double
d40,-1.2240818034952464e-06,double
d41,-2.0865315632991776e-05,double
d42,-5.524162601819786e-07,double
d43,-2.5256077014045887e-05,double
d44,-9.293927734991923e-05,double
d45,-8.323299062734958e-06,double
d46,-6.859133935926331e-07,double
d47,-2.8627310368038055e-06,double
d48,-2.7235023906503715e-05,double
d49,-1.934970228833826e-06,double
d5,-1.043969546515748e-05,double
d50,-3.394625939425835e-07,double
d51,-1.890428028999151e-06,double
d52,-7.63738566914233e-06,double
d53,-7.762264563913442e-07,double
d54,-6.716655433132677e-07,double
d55,-1.595507634891243e-06,double
d56,-1.9941362210959695e-07,double
d57,-2.736104435228926e-05,double
d58,-4.462893948159961e-05,double
d59,-2.938457751463444e-06,double
d6,-3.622156219565238e-05,double
d60,-1.4676978705160495e-05,double
d61,-9.417922491096461e-07,double
d62,1.3553481276546929e-06,double
d63,-5.484859350789495e-06,double
d64,-3.6381069053173604e-07,double
d65,-4.462893948159961e-05,double
d66,-0.00013695436220455975,double
d67,-1.0900950387976644e-05,double
d68,5.382345294105894e-08,double
d69,9.192119354371002e-06,double
d7,-2.9766613518071994e-06,double
d70,-2.1904993387508248e-05,double
d71,-1.6958960320451195e-06,double
d72,-2.938457751463444e-06,double
d73,-1.0900950387976646e-05,double
d74,-9.859902897919616e-07,double
d75,5.779815585779103e-07,double
d76,-1.7497194849861769e-06,double
d77,-1.6625213464976282e-07,double
d78,1.3553481276546929e-06,double
d79,-5.484859350789495e-06,double
d8,-2.0865315632991776e-05,double
d80,-3.6381069053173604e-07,double
d81,-1.4676978705160495e-05,double
d82,-9.417922491096461e-07,double
d83,9.192119354371002e-06,double
d84,-2.1904993387508248e-05,double
d85,-1.6958960320451195e-06,double
d86,5.382345294105894e-08,double
d87,5.779815585779103e-07,double
d88,-1.7497194849861769e-06,double
d89,-1.6625213464976282e-07,double
d9,-5.524162601819786e-07,double
d90,-1.9947221405177572e-05,double
d91,1.1181660768987523e-06,double
d92,2.243499994812275e-07,double
d93,1.1181660768987523e-06,double
d94,-2.1296680185944956e-05,double
d95,-1.5167821965209463e-06,double
d96,2.243499994812275e-07,double
d97,-1.5167821965209463e-06,double
d98,-1.7993290673491144e-07,double
s0,1.8515626471719034e-09,single/other
s1,1.8310106358862615e-09,single/other
s10,1.6027928543522907e-09,single/other
s11,9.097961044529098e-11,single/other
s12,-1.5770053503870245e-09,single/other
s13,-1.032040383388826e-09,single/other
s14,-8.099348977101782e-11,single/other
s15,-1.5770053518659527e-09,single/other
s16,-1.0320403821675897e-09,single/other
s17,-8.099348979622682e-11,single/other
s2,1.835697611785254e-10,single/other
s3,1.8515626434969912e-09,single/other
s4,1.8310106374324136e-09,single/other
s5,1.835697611785254e-10,single/other
s6,1.998111665457608e-09,single/other
s7,1.6027928515064744e-09,single/other
s8,9.097961045369399e-11,single/other
s9,1.99811166644356e-09,single/other
