orbital,energy_hartree,occupation,ligand_population
0,-20.281548912264054,2.0,2.7913927170409992e-14
1,-20.260695405495404,2.0,1.000000000169248
2,-20.25134298363311,2.0,0.9999999982509106
3,-20.240264446267993,2.0,1.000000000000114
4,-20.22955703848759,2.0,-8.659300582242071e-14
5,-20.201541208377428,2.0,-6.757396341163797e-07
6,-20.160316920061053,2.0,2.1332861444036164e-14
7,-19.898596365289535,2.0,-2.0017247324777513e-06
8,-19.880130413789765,2.0,-8.522142771666032e-07
9,-15.576849901508904,2.0,-7.659669518519394e-11
10,-15.512492594336393,2.0,-5.920418020349429e-14
11,-15.490871836865571,2.0,0.9999999982337712
12,-15.476429256931306,2.0,-1.3395545505092198e-12
13,-15.36326004939491,2.0,0.9999999940301686
14,-15.342709491987549,2.0,0.9999975138814264
15,-15.337098383489325,2.0,1.0000019123855308
16,-15.313481996218083,2.0,7.776642829047136e-14
17,-15.233219010241012,2.0,1.1743516693561807e-13
18,-15.200661314443657,2.0,3.6929147379981276e-13
19,-15.197842915326342,2.0,5.267460667025702e-11
20,-11.41138117809929,2.0,-1.7254032993549026e-13
21,-11.230529364951757,2.0,1.0000000833055611
22,-11.189293330092315,2.0,1.638505499630388e-07
23,-11.175662038673263,2.0,1.0000001659734514
24,-11.161481785880117,2.0,1.000000000032173
25,-11.107893747137068,2.0,8.818349029161815e-14
26,-11.106584048244011,2.0,8.679648223411789e-10
27,-11.097433668236437,2.0,8.44338186213168e-12
28,-11.093595176749448,2.0,-3.08117826102224e-14
29,-11.08487958939698,2.0,3.936155317484914e-07
30,-11.084065756209823,2.0,0.9999994072965406
31,-11.06885000668099,2.0,0.9999999981120907
32,-11.064545486827182,2.0,1.0000004991336877
33,-11.063103506558889,2.0,0.9999999993426102
34,-11.060823322773478,2.0,0.9999999999925804
35,-11.053690582575394,2.0,9.459865608690232e-11
36,-11.052440916084322,2.0,0.9999999975781496
37,-11.047515194826143,2.0,0.9999999999060687
38,-11.044896363935147,2.0,1.000000000000002
39,-11.037657313796373,2.0,-1.3369600847551702e-08
40,-11.035862869215139,2.0,1.8898474935146283e-11
41,-11.025787773871386,2.0,0.9999999998301491
42,-11.021727526917479,2.0,-2.39499884680716e-13
43,-11.019214233449626,2.0,3.6509196502186765e-08
44,-11.01873310881683,2.0,2.3861952905259965e-09
45,-11.007138624921065,2.0,-3.465311525276731e-10
46,-11.003972331271726,2.0,-1.4432769505110997e-08
47,-11.000082399445361,2.0,-2.1812380611013315e-05
48,-10.998903174157082,2.0,-2.351747420885629e-06
49,-10.997598048656549,2.0,0.9999999620179393
50,-10.997207755847418,2.0,0.9999948373592474
51,-10.99250115888223,2.0,-7.990700303615775e-07
52,-10.98922961357536,2.0,1.7539644284782432e-07
53,-10.975268127307753,2.0,3.394108809169879e-10
54,-10.969915065054893,2.0,1.170402660513365e-10
55,-10.969600791626672,2.0,6.023947690950078e-10
56,-10.933551528229174,2.0,2.513236153900235e-10
57,-10.921882327728104,2.0,-5.567929309894911e-07
58,-10.917419348513299,2.0,-1.7827515886337626e-06
59,-1.4474729936324269,2.0,-1.6948885427448636e-07
60,-1.3498420925588883,2.0,0.9997868830448443
61,-1.3183040634361887,2.0,0.9999718043619149
62,-1.317657252716908,2.0,1.648399426034139e-06
63,-1.3005765629473798,2.0,1.023836614460283e-05
64,-1.2851321984554134,2.0,0.9999735199233182
65,-1.2783336275140385,2.0,1.2392847603671396e-06
66,-1.2686497513781498,2.0,6.808052569514107e-07
67,-1.264563253680742,2.0,1.8547173184662673e-07
68,-1.2612237184901307,2.0,0.9999966407979805
69,-1.2530089844729173,2.0,0.0008427736179657745
70,-1.238718943828848,2.0,0.9972743251478192
71,-1.1738260035033057,2.0,0.9961945555818195
72,-1.1377764702313047,2.0,7.920133191310037e-06
73,-1.1142006815866683,2.0,0.4877951506280023
74,-1.1068922568211867,2.0,0.4387835080636903
75,-1.0918551710584905,2.0,0.3925129143781834
76,-1.0895944373768562,2.0,0.6875297803458175
77,-1.0868101094585967,2.0,0.0001780530471550399
78,-1.0592871553306975,2.0,0.0008139438173813796
79,-1.0532619716232694,2.0,0.03160203953102177
80,-1.0486806454796302,2.0,0.9623459466683671
81,-1.0382045476286832,2.0,0.0005602168697056999
82,-1.0018583742859763,2.0,0.0004022066650963902
83,-0.981277881836915,2.0,0.024859508802866807
84,-0.9758951995389888,2.0,0.06151348383474466
85,-0.9734917292239516,2.0,0.9162326861808757
86,-0.96071806714638,2.0,0.00025742505621763735
87,-0.9378393080989909,2.0,0.0008903465488057661
88,-0.9366460284288767,2.0,0.765172494305241
89,-0.9349035047664648,2.0,0.2884077784761767
90,-0.8996878933055195,2.0,0.9678019596238876
91,-0.8953375215214576,2.0,0.03133998981641631
92,-0.8841112394776274,2.0,0.0006053782714997827
93,-0.8771795631401296,2.0,0.32194151218986056
94,-0.874903611419265,2.0,0.014631327221782507
95,-0.8734640441696045,2.0,0.6679927940663154
96,-0.8601478712815274,2.0,0.9531837873457875
97,-0.8509415483351361,2.0,0.9153660310206252
98,-0.8482790176766892,2.0,0.07904195546827586
99,-0.8349739722374516,2.0,0.9746231413348732
100,-0.8300556332810803,2.0,0.015042226108340436
101,-0.829174061905203,2.0,0.002654256692808606
102,-0.8184300879837147,2.0,0.9786722908712909
103,-0.8112217480024837,2.0,0.009983171294033507
104,-0.7955017890335472,2.0,0.01007081766956467
105,-0.78104814671573,2.0,0.0006591708254823975
106,-0.7624228156728179,2.0,0.0008508360960915139
107,-0.7604449996259599,2.0,0.0005014792709223631
108,-0.7525063200510516,2.0,0.06529131076674263
109,-0.7426712692566972,2.0,0.8099626992744606
110,-0.7403422785257596,2.0,0.09466082092311817
111,-0.7374571073034917,2.0,0.00867519289372851
112,-0.7335741478349733,2.0,0.9042708625788606
113,-0.7217002442407352,2.0,0.9789594622358196
114,-0.7181174368546124,2.0,0.40918200403776706
115,-0.7123869301889338,2.0,0.012724452337353477
116,-0.7061839355173081,2.0,0.7947053494611134
117,-0.6995066597134441,2.0,0.03334350054389359
118,-0.6932253564368245,2.0,0.001338195592955641
119,-0.6814108010014723,2.0,0.10526841472575686
120,-0.6625050718264209,2.0,0.7507596268647087
121,-0.6564012713674265,2.0,0.005869750428402689
122,-0.6485937256030829,2.0,0.6480532737264073
123,-0.6360232241378907,2.0,0.03329934229041459
124,-0.6312841362341481,2.0,0.9391334705385792
125,-0.6241523764380406,2.0,0.009711971733609168
126,-0.6204454912881976,2.0,0.9528057032395951
127,-0.617712468984051,2.0,0.6842540169126473
128,-0.6143342534181382,2.0,0.8467268633109
129,-0.6108528882020468,2.0,0.0024346009773735765
130,-0.598344335953503,2.0,0.932986945220829
131,-0.5900426607954388,2.0,0.9373764870539172
132,-0.5874431836033913,2.0,0.037279833282506294
133,-0.5783384481557519,2.0,0.2260542983500541
134,-0.5757298569892877,2.0,0.12641049065538557
135,-0.5736333987135285,2.0,0.6262050977813327
136,-0.571012665100356,2.0,0.2072626279856755
137,-0.5670136375271237,2.0,0.7911817625165534
138,-0.5641011093833008,2.0,0.8982509824543391
139,-0.5620589071591306,2.0,0.523993147432695
140,-0.5588965360181615,2.0,0.2903922473584844
141,-0.5561238945251674,2.0,0.8272195510376492
142,-0.5535654258428002,2.0,0.05598609778501084
143,-0.551231719414958,2.0,0.403228643384564
144,-0.5497426852215922,2.0,0.2322217830770321
145,-0.5488289550382389,2.0,0.6484022847336396
146,-0.5463591890864059,2.0,0.504609367951185
147,-0.5439860349560117,2.0,0.15356491040073578
148,-0.5417481773224726,2.0,0.22276405131581825
149,-0.5313639553099634,2.0,0.4168885710228356
150,-0.5246002756561943,2.0,0.014416756058391262
151,-0.5240810103807294,2.0,0.5263754985558743
152,-0.5234997479227202,2.0,0.917914209134203
153,-0.520183293620945,2.0,0.21864675210081788
154,-0.5146313785546048,2.0,0.07665058119172072
155,-0.5125401846022652,2.0,0.7357837772235893
156,-0.5071037826161251,2.0,0.018155848430515216
157,-0.5064281871662287,2.0,0.09882178509451993
158,-0.5047169147799111,2.0,0.19146580713243266
159,-0.5016752264137634,2.0,0.24377619776554027
160,-0.49656334474356134,2.0,0.1491331978556026
161,-0.4924436913192265,2.0,0.4841515891941093
162,-0.48804542224073433,2.0,0.07936104384650387
163,-0.4867594450421362,2.0,0.03539063193541506
164,-0.4820083291202173,2.0,0.018583393724175962
165,-0.47724823561491525,2.0,0.9192829484406356
166,-0.47243956551669886,2.0,0.028105608526611155
167,-0.4683169510364555,2.0,0.20315197135941987
168,-0.46773692616159174,2.0,0.3248363103068059
169,-0.46699898940698464,2.0,0.6449283000792048
170,-0.4651402303676899,2.0,0.8907059394936337
171,-0.4629258888467136,2.0,0.026498536151429858
172,-0.4605320878793402,2.0,0.005037353646905478
173,-0.45208962671340797,2.0,0.00822742566069867
174,-0.45044611170097043,2.0,0.8476983049822858
175,-0.4483244494766268,2.0,0.05684801299838078
176,-0.4469315438175148,2.0,0.05490858418529822
177,-0.4418872836153993,2.0,0.09289953327772967
178,-0.43695608519563556,2.0,0.7049762816923564
179,-0.4283633688457602,2.0,0.28312797646888926
180,-0.42453242716733697,2.0,0.11612196800163213
181,-0.4206480034640917,2.0,0.016704657443988098
182,-0.4191966311175694,2.0,0.8433441018347072
183,-0.4116581671272652,2.0,0.024912370122463164
184,-0.409138243084747,2.0,0.0021515864870586135
185,-0.4052204634312617,2.0,0.002388464436701262
186,-0.4002672849645641,2.0,0.009109247173784085
187,-0.3954748738321445,2.0,0.8287477146439642
188,-0.3898210928369932,2.0,0.18057796576279586
