orbital,energy_hartree,occupation,ligand_population
0,-20.19925381763722,2.0,1.6630293180876273e-12
1,-20.19721165477525,2.0,1.0000000006440568
2,-20.193125885241738,2.0,1.0000000000000209
3,-20.178753177694826,2.0,0.9999999999964494
4,-20.176308791815394,2.0,-5.63457132438018e-15
5,-20.150834058302216,2.0,-1.8791928321448346e-07
6,-20.0954395675647,2.0,-7.506306342987834e-12
7,-19.91210036647964,2.0,-3.140952328462885e-05
8,-19.902842761811907,2.0,-7.285306811296982e-06
9,-15.386142574057814,2.0,1.0000000391653072
10,-15.286317474140596,2.0,0.9999979661339199
11,-15.282472838517553,2.0,0.999999987281666
12,-15.262614144011435,2.0,1.0000001566731915
13,-15.250202672153318,2.0,3.183679941957265e-12
14,-15.178687837793412,2.0,1.364669651554114e-13
15,-15.157827393746308,2.0,-2.34334715176729e-11
16,-15.145938590485994,2.0,7.476285504115198e-14
17,-11.1481424166206,2.0,1.0000002109593737
18,-11.09829607699142,2.0,1.0000007809503446
19,-11.07224593995007,2.0,1.000000019696229
20,-11.036052133987788,2.0,-8.753828865333789e-11
21,-11.02877166835511,2.0,6.16639210495113e-12
22,-11.014474648567735,2.0,3.789010399034203e-09
23,-11.0133132062124,2.0,0.9999999600083169
24,-11.002729822386977,2.0,3.219752107427279e-11
25,-10.99475131231654,2.0,0.9999999999999374
26,-10.991586922032765,2.0,1.0000000219053593
27,-10.989946529897733,2.0,0.9999999999652892
28,-10.983590345502508,2.0,0.9999982165907026
29,-10.98345782573586,2.0,1.2514494921163886e-06
30,-10.982174141590452,2.0,0.9999999993035009
31,-10.979193503831054,2.0,-1.4862804233002549e-08
32,-10.976208781109609,2.0,-9.344704703071364e-12
33,-10.972668974703794,2.0,-8.340967279376921e-09
34,-10.971574233503729,2.0,4.2245014701052265e-10
35,-10.9699806637895,2.0,0.9999975968627681
36,-10.967836700027167,2.0,2.38340715310831e-10
37,-10.955674099443689,2.0,1.0712412039967193e-08
38,-10.95172988691111,2.0,1.0614900442608082e-08
39,-10.946363037652095,2.0,5.378791336805238e-11
40,-10.94606731044823,2.0,-7.904188478602134e-07
41,-10.94456423361059,2.0,-9.31456194093819e-07
42,-10.942105955213666,2.0,-1.895925778949043e-06
43,-10.941013747281223,2.0,9.814884428161814e-08
44,-10.940470688762009,2.0,4.527061506002535e-09
45,-10.940265569668044,2.0,3.53327863876176e-07
46,-10.939013765997151,2.0,3.712360699106523e-07
47,-10.938358468312808,2.0,0.999999687915569
48,-10.92890232104951,2.0,6.147097373003913e-09
49,-10.926147884642997,2.0,-2.003556047391079e-06
50,-10.92373705073421,2.0,1.1962047122776472e-11
51,-10.922533875212439,2.0,7.282618745268886e-09
52,-10.916670864528017,2.0,0.9999992941680239
53,-10.915414791267608,2.0,0.9999999982199848
54,-10.901010318060731,2.0,-1.6748865196581128e-09
55,-1.2638846673819881,2.0,0.9991086130111158
56,-1.2430663062026672,2.0,0.9999965909149038
57,-1.2338356585153571,2.0,3.7693116337312835e-07
58,-1.229556532418003,2.0,0.99999486619697
59,-1.2221080199610952,2.0,1.339435579463074e-07
60,-1.204886401730606,2.0,2.079344740643706e-05
61,-1.1988299088004666,2.0,0.9999993948933179
62,-1.1905693899452283,2.0,0.0017699767648213915
63,-1.1611587764261266,2.0,0.990971699880724
64,-1.1168436546401,2.0,0.017712429692672657
65,-1.0977201589391916,2.0,0.9965152058004078
66,-1.0633175333430145,2.0,2.322951076476873e-05
67,-1.0381595822262046,2.0,0.9915883547138779
68,-1.0201238471965455,2.0,0.010823307889104315
69,-1.0035187556338967,2.0,0.0036137003962556343
70,-0.9992330125680029,2.0,0.7833791633435205
71,-0.9989826990306736,2.0,0.0571103967207262
72,-0.9957389349715824,2.0,0.144240553003934
73,-0.9816430436612158,2.0,0.03260567656398111
74,-0.9645899112833718,2.0,3.9324211666704283e-05
75,-0.954004200184045,2.0,0.9816262477358783
76,-0.9168306994545172,2.0,0.0009258625811644382
77,-0.9093928484994309,2.0,0.00703572934637682
78,-0.8809990261298457,2.0,0.9885566376799373
79,-0.8787727144330566,2.0,0.0038695057898722753
80,-0.8737633467738914,2.0,0.007499661400650109
81,-0.8545240485290668,2.0,0.998848351191914
82,-0.8375870507461443,2.0,0.001106885235714598
83,-0.8368485757064694,2.0,0.002831838609813257
84,-0.821544960168836,2.0,0.9605415514758215
85,-0.8157331196525217,2.0,0.03647834304737577
86,-0.8024430498878032,2.0,0.004369023626040921
87,-0.799733688102674,2.0,0.9983777552583776
88,-0.787171059245497,2.0,0.985179230436965
89,-0.7813951654422111,2.0,0.017810074435063106
90,-0.7671197931415581,2.0,0.030968777350179777
91,-0.7628404117267455,2.0,0.9547561187080638
92,-0.7492590193298296,2.0,0.9793514433885326
93,-0.7388150039757224,2.0,0.005916199115352883
94,-0.7125916986818401,2.0,0.0002627020343515096
