orbital,energy_hartree,occupation,ligand_population
0,-20.2032115848208,2.0,5.549747771167209e-10
1,-20.203087515245237,2.0,0.9999999992500472
2,-20.19086449781438,2.0,1.0000000000001215
3,-20.17569994635678,2.0,-4.446547341794075e-15
4,-20.171526782106874,2.0,1.0000000000282727
5,-20.14991614879946,2.0,-1.8998172876641998e-07
6,-20.090932027800864,2.0,-5.657760099397456e-12
7,-19.90949318819226,2.0,-2.5786145965739956e-05
8,-19.909405236410713,2.0,-1.1456556411241397e-05
9,-15.387123228120608,2.0,1.0000000527249342
10,-15.288145179270083,2.0,0.999998130534582
11,-15.280176639385783,2.0,0.9999999846699502
12,-15.265221767172928,2.0,1.0000001189410155
13,-15.252680197360679,2.0,2.9952432670585353e-12
14,-15.176018874361677,2.0,1.486287731531852e-13
15,-15.159001887580349,2.0,-2.0083012516897262e-11
16,-15.14002650082115,2.0,1.9313289692175894e-13
17,-11.148201503270606,2.0,1.0000001358590342
18,-11.101056182467746,2.0,1.000000580208638
19,-11.075627974974259,2.0,1.0000000249654866
20,-11.03620080545719,2.0,-8.685685809727592e-11
21,-11.03309388653045,2.0,3.0507257322360413e-12
22,-11.01649407162475,2.0,0.9999999738629017
23,-11.01579439607501,2.0,4.63950520039844e-09
24,-11.003482102645213,2.0,7.097337017797633e-11
25,-10.997041678342462,2.0,1.0000000000176306
26,-10.996539141759062,2.0,1.0000000054884592
27,-10.98934086088865,2.0,0.9999996456400851
28,-10.987866172461583,2.0,0.999999918064782
29,-10.987499271322527,2.0,0.9999999999999476
30,-10.98239566610043,2.0,6.833765600882231e-10
31,-10.97894575387822,2.0,-6.0549363108163955e-09
32,-10.976830627806642,2.0,0.9999985989293315
33,-10.97586256161397,2.0,-1.1448424155095056e-11
34,-10.974012852010901,2.0,4.667688683503994e-10
35,-10.972468087206687,2.0,1.8192906027556437e-09
36,-10.972465910139858,2.0,-9.264358511519376e-09
37,-10.968040358917213,2.0,0.9999999954706522
38,-10.955565677530375,2.0,8.302606949252435e-09
39,-10.95209741565509,2.0,7.619280684575448e-08
40,-10.950527319842436,2.0,9.872804355255164e-09
41,-10.948352073772307,2.0,7.836845615243762e-07
42,-10.947546115350937,2.0,0.9999980817250832
43,-10.94638369977428,2.0,-6.404156497154315e-07
44,-10.945330777210364,2.0,-3.063374408102108e-07
45,-10.945219251731455,2.0,7.894735756062575e-08
46,-10.94455570799054,2.0,4.1663424819394847e-07
47,-10.937813674124499,2.0,1.2445091992571393e-08
48,-10.936834773192505,2.0,2.650680420077062e-07
49,-10.934100100827749,2.0,5.01353872061564e-09
50,-10.926534822721683,2.0,-2.0649940614799218e-06
51,-10.92529644463897,2.0,9.77897391217919e-11
52,-10.92297702230952,2.0,7.239080910150538e-09
53,-10.915973779952035,2.0,0.9999994521059438
54,-10.914311956325877,2.0,0.9999999990058769
55,-10.900696395035443,2.0,-1.7690896756803828e-09
56,-1.2627521741638028,2.0,0.9991830104260047
57,-1.241671325585831,2.0,0.9999959759789709
58,-1.2384833419625396,2.0,3.68356262166363e-07
59,-1.224432253879931,2.0,0.9999995277928244
60,-1.215787104451909,2.0,1.3839517860656437e-07
61,-1.2037598890382348,2.0,2.0547462308595538e-05
62,-1.1964572401569527,2.0,1.0000003116332095
63,-1.1877979323618937,2.0,0.0017236990446872229
64,-1.1573299800808186,2.0,0.9908292082747425
65,-1.1157698145858026,2.0,0.019101417603965404
66,-1.0961300927766158,2.0,0.9949240228300735
67,-1.0636156895070101,2.0,2.17772047770933e-05
68,-1.0361286418620894,2.0,0.9919600038861524
69,-1.018950946655333,2.0,0.010445035008903869
70,-1.0014149923084164,2.0,0.9205683706691061
