system_id,tier,method,basis,nadph_embedding,interaction_energy_hartree,converged,source_file
L28R_4DTMP,compact_primary,HF,3-21g,True,-0.07199436671385229,True,results/classical/L28R_4DTMP_compact_primary_HF_3-21g_embed.json
L28R_4DTMP,compact_primary,HF,def2-svp,True,-0.06559730680714893,True,results/classical/L28R_4DTMP_compact_primary_HF_def2-svp_embed.json
L28R_4DTMP,compact_primary,HF,sto-3g,True,-0.0628689503721489,True,results/classical/L28R_4DTMP_compact_primary_HF_sto-3g.json
L28R_4DTMP,compact_primary,HF,sto-3g,False,-0.0656410316109941,True,results/classical/L28R_4DTMP_compact_primary_HF_sto-3g_noembed.json
L28R_TMP,compact_primary,HF,3-21g,True,-0.01979061343331523,True,results/classical/L28R_TMP_compact_primary_HF_3-21g_embed.json
L28R_TMP,compact_primary,HF,def2-svp,True,-0.022266255161184745,True,results/classical/L28R_TMP_compact_primary_HF_def2-svp_embed.json
L28R_TMP,compact_primary,HF,sto-3g,True,-0.004762368041838272,True,results/classical/L28R_TMP_compact_primary_HF_sto-3g.json
L28R_TMP,compact_primary,HF,sto-3g,False,-0.012985437824454493,True,results/classical/L28R_TMP_compact_primary_HF_sto-3g_noembed.json
WT_4DTMP,compact_primary,HF,3-21g,True,-0.14711129179113414,True,results/classical/WT_4DTMP_compact_primary_HF_3-21g_embed.json
WT_4DTMP,compact_primary,HF,def2-svp,True,-0.13485063731104674,True,results/classical/WT_4DTMP_compact_primary_HF_def2-svp_embed.json
WT_4DTMP,compact_primary,HF,sto-3g,True,-0.15255100571539515,True,results/classical/WT_4DTMP_compact_primary_HF_sto-3g.json
WT_4DTMP,compact_primary,HF,sto-3g,False,-0.15882515705197875,True,results/classical/WT_4DTMP_compact_primary_HF_sto-3g_noembed.json
WT_TMP,compact_primary,HF,3-21g,True,-0.1504331661390097,True,results/classical/WT_TMP_compact_primary_HF_3-21g_embed.json
WT_TMP,compact_primary,HF,def2-svp,True,-0.13840940478485209,True,results/classical/WT_TMP_compact_primary_HF_def2-svp_embed.json
WT_TMP,compact_primary,HF,sto-3g,True,-0.1561079099651579,True,results/classical/WT_TMP_compact_primary_HF_sto-3g.json
WT_TMP,compact_primary,HF,sto-3g,False,-0.16228440003987998,True,results/classical/WT_TMP_compact_primary_HF_sto-3g_noembed.json
